Time,V_Current,U_Current,SBG EKF Velocity N,SBG EKF Velocity E,SBG EKF Velocity N Acc,SBG EKF Velocity E Acc,SBG EKF Latitude,SBG EKF Longitude,SBG Heading2,OD19_TRUE_WIND_SPEED,OD19_TRUE_WIND_DIRECTION,ADCP_DC3_V2,ADCP_DC4_V2
1474114013.9998112,0.007331071515282712,-0.3409796047393272,8.660310163839053,13.708880121934099,0.09817909159658486,0.09847061149486303,32.71004320295511,-117.82440232199829,57.16,3.0822096,269.58246,16.430793157076206,16.444401244167963
1474114014.9998102,0.007333686571489532,-0.34100514071792404,8.644583992787506,13.76457199523831,0.09816745368540751,0.09845907497183531,32.71008311622385,-117.82432679424426,57.17,3.096968,274.35382000000004,16.588258164852256,16.502721617418352
1474114015.9998093,0.007336342054264753,-0.3410305307113071,8.629100689806426,13.823690903872762,0.09816168180288831,0.09845327412127337,32.710123073005875,-117.82425091378889,57.22,3.2574956000000004,269.806,16.57270606531882,16.52021772939347
1474114016.9998083,0.007338989797109173,-0.3410563999029767,8.67278357130558,13.871662909654585,0.09815211510676804,0.0984437726032493,32.71016321121276,-117.82417485116272,57.3,3.3517589999999995,265.9168,16.549377916018663,16.607698289269052
1474114017.9998074,0.007341596298840372,-0.34108291467356366,8.689500681163736,13.897220602673285,0.09813411146819499,0.09842589932086865,32.710203538455815,-117.82409874051385,57.39,3.3365097,262.6181,16.590202177293936,16.578538102643858
1474114018.9998064,0.007344235959824656,-0.3411093344611069,8.688912977512295,13.936566157066618,0.09807498045091867,0.0983668552077206,32.71024391627818,-117.82402230137427,57.46,3.1724183999999997,261.59424,16.636858475894247,16.50660964230171
1474114019.9998055,0.00734685759305297,-0.3411360482503711,8.664491758747012,13.965215319608271,0.09800053982304563,0.09829268253424306,32.710284400573215,-117.82394573174236,57.51,3.0306857000000003,264.24826,16.40746500777605,16.46384136858476
1474114020.9998045,0.007349492645607636,-0.3411616719074223,8.61912363239247,13.979027282394481,0.09795529174026027,0.09824795587622731,32.710324580890465,-117.82386897713809,57.5,3.1135015,262.3816,16.46384136858476,16.45217729393468
1474114021.9998035,0.007352126051088263,-0.34118650903760883,8.575829154410593,13.973880704046223,0.09813983989865005,0.09824874525539241,32.710364536009116,-117.82379208487288,57.49,3.1321425,257.59744,16.35108864696734,16.395800933125972
1474114022.9998026,0.007354694866232264,-0.3412112885946262,8.559984330255915,13.931515057387285,0.09826572052844762,0.0982825726873211,32.71040441684361,-117.8237152853734,57.45,2.9576162999999998,250.67858999999999,16.34914463452566,16.238335925349922
1474114023.9998016,0.007357216449463023,-0.3412361585085805,8.598362120276848,13.884174323193209,0.09823870058656667,0.09830550089316273,32.71044429661452,-117.82363849363614,57.42,2.8755607999999997,247.43923999999998,16.263608087091757,16.222783825816485
1474114024.9998007,0.0073595766635582115,-0.34126233752859275,8.646132971969772,13.818022437266206,0.09812518931102605,0.09832266445849584,32.71048441464479,-117.82356213396923,57.44,2.8655155,251.41382000000002,16.216951788491446,16.178071539657854
1474114025.9997997,0.007361777961203018,-0.34128914969550816,8.687550320781037,13.761979239539448,0.09805854108665446,0.09832031080502189,32.71052455213499,-117.82348623808412,57.51,2.7637951000000003,253.07303,16.176127527216174,16.03615863141524
1474114026.9997988,0.007363845549449275,-0.34131710143451033,8.724302192498143,13.701917594921534,0.0980477722167598,0.09833367955675393,32.71056491104455,-117.82341066422896,57.6,2.747048,261.05792,16.158631415241057,16.104199066874028
1474114027.9997978,0.007365816147826132,-0.34134534639820896,8.717893997951764,13.668323008120524,0.09808446024291068,0.09837265605828255,32.71060526514232,-117.82333530431734,57.68,2.8505194,275.8089,16.08670295489891,16.14891135303266
1474114028.9997969,0.007367692539887801,-0.34137359222417174,8.66873638811601,13.661053651599085,0.09814645185440918,0.09842724633485682,32.71064552231688,-117.82326016503754,57.77,3.0132844,281.2118,16.370528771384137,16.170295489891135
